Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,Frequency,Bandwidth,Filter Type,Ripple,Insertion Loss,Mounting Type,Package / Case,Size / Dimension,Height (Max),URL
https://www.johansontechnology.com/datasheets/2450FM07A0029/2450FM07A0029.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2521/0402-%281005-Metric%29-Balun.jpg,"712-2450FM07A0029001TTR-ND,712-2450FM07A0029001TCT-ND,712-2450FM07A0029001TDKR-ND",2450FM07A0029001T,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTR LO PASS 2.4-2.5GHZ 0402,"68,844",0.29,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,2.4GHz ~ 2.5GHz,100MHz,Low Pass,-,0.8dB,Surface Mount,0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/2450FM07A0029001T/6187664
https://product.tdk.com/system/files/dam/doc/product/rf/rf/filter/catalog/rf_lpf_dea251002lt-5048a1_en.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2640/MFG_DEA251002LT-5048A1.jpg,"445-DEA251002LT-5048A1TR-ND,445-DEA251002LT-5048A1CT-ND,445-DEA251002LT-5048A1DKR-ND",DEA251002LT-5048A1,TDK,TDK,RF FILTER LOW PASS 1002MHZ 1008,"409,920",0.3,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",DEA,Active,1002MHz (Cutoff),997MHz,Low Pass,-,2.4dB,Surface Mount,"1008 (2520 Metric), 4 PC Pad","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.039"" (1.00mm)",https://www.digikey.com/en/products/detail/tdk/DEA251002LT-5048A1/16515507
https://www.johansontechnology.com/datasheets/2450LP07C0100/2450LP07C0100.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4407/MFG_2450LP07C0100T.JPG,"712-2450LP07C0100001TTR-ND,712-2450LP07C0100001TCT-ND,712-2450LP07C0100001TDKR-ND",2450LP07C0100001T,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER LOW PASS 2.45GHZ 0402,"8,945",0.3,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,2.45GHz,100MHz,Low Pass,-,0.6dB,Surface Mount,"0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/2450LP07C0100001T/11630028
https://www.johansontechnology.com/datasheets/2450BP07A0100/2450BP07A0100.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/653/Filter4.jpg,"712-2450BP07A0100001TTR-ND,712-2450BP07A0100001TCT-ND,712-2450BP07A0100001TDKR-ND",2450BP07A0100001T,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER BAND PASS 2.45GHZ 0402,"315,485",0.31,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,2.45GHz Center,100MHz,Band Pass,-,2.5dB,Surface Mount,"0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.017"" (0.43mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/2450BP07A0100001T/1560747
https://www.johansontechnology.com/datasheets/2450LP14B100/2450LP14B100.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2446/2.4GHz%20Filter6.jpg,"712-2450LP14B0100001TTR-ND,712-2450LP14B0100001TCT-ND,712-2450LP14B0100001TDKR-ND",2450LP14B0100001T,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER LOW PASS 2.45GHZ 0603,"46,982",0.31,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,2.45GHz Center,100MHz,Low Pass,-,0.5dB,Surface Mount,"0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/2450LP14B0100001T/1560801
https://www.johansontechnology.com/datasheets/2450FM07D0034/2450FM07D0034.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6534/MFG_2450FM07D0034001T.jpg,"712-2450FM07D0034001TTR-ND,712-2450FM07D0034001TCT-ND,712-2450FM07D0034001TDKR-ND",2450FM07D0034001T,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER 2.4GHZ-2.5GHZ 0402,"6,773",0.31,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,2.4GHz ~ 2.5GHz,100MHz,-,-,0.75dB,Surface Mount,"0402 (1005 Metric), 4 PC Pad","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/2450FM07D0034001T/9477815
https://www.johansontechnology.com/datasheets/0900LP15B0063/0900LP15B0063.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/58/712%7E0805%282012%29-8PC-PAD.JPG,"712-0900LP15B0063001ETR-ND,712-0900LP15B0063001ECT-ND,712-0900LP15B0063001EDKR-ND",0900LP15B0063001E,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER LOW PASS 911.5MHZ 0805,"977,255",0.45,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,911.5MHz,97MHz,Low Pass,-,0.9dB,Surface Mount,"0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/0900LP15B0063001E/7943533
https://www.johansontechnology.com/datasheets/0915LP15B026/0915LP15B026.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2519/Coupler%200805%282012%298.jpg,"712-0915LP15B0026001ETR-ND,712-0915LP15B0026001ECT-ND,712-0915LP15B0026001EDKR-ND",0915LP15B0026001E,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER LOW PASS 915MHZ 0805,"79,010",0.47,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,915MHz Center,26MHz,Low Pass,-,0.5dB,Surface Mount,"0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/0915LP15B0026001E/1560793
https://www.johansontechnology.com/datasheets/2450BP15E0100/2450BP15E0100.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2456/2450MHz%20Filter4.jpg,"712-2450BP15E0100001ETR-ND,712-2450BP15E0100001ECT-ND,712-2450BP15E0100001EDKR-ND",2450BP15E0100001E,Johanson Technology Inc.,Johanson Technology Inc.,RF FILTER BAND PASS 2.45GHZ 0805,"50,670",0.47,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",-,Active,2.45GHz Center,100MHz,Band Pass,-,1.5dB,Surface Mount,"0805 (2012 Metric), 4 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)",https://www.digikey.com/en/products/detail/johanson-technology-inc/2450BP15E0100001E/1560752
https://product.tdk.com/en/system/files?file=dam/doc/product/rf/rf/filter/catalog/rf_bpf_dea162450bt-1260b2_en.pdf,//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2489/0608%20%281608%20Metric%29%2C%204%20PC%20Pad.jpg,"445-6874-2-ND,445-6874-1-ND,445-6874-6-ND",DEA162450BT-1260B2,TDK,TDK,RF FILTER BAND PASS 2.45GHZ 0603,"59,620",0.53,0,1,"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®",DEA,Active,2.45GHz Center,100MHz,Band Pass,-,1.7dB,Surface Mount,"0603 (1608 Metric), 4 PC Pad","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)",https://www.digikey.com/en/products/detail/tdk/DEA162450BT-1260B2/2649214
